from_id,to_id,type
alice,PC-ALICE,USES
bob,PC-BOB,USES
alice,RH,MEMBER_OF
bob,DEV,MEMBER_OF
charlie,ADMINS,MEMBER_OF
diana,SECURITY,MEMBER_OF
PC-ALICE,SRV-WEB,CONNECTED_TO
PC-BOB,SRV-WEB,CONNECTED_TO
SRV-WEB,SRV-DB,CONNECTED_TO
SRV-DB,DC-01,CONNECTED_TO
SRV-DB,NAS-BACKUP,CONNECTED_TO
SRV-WEB,HTTP,EXPOSES
SRV-WEB,HTTPS,EXPOSES
SRV-DB,MongoDB,EXPOSES
DC-01,SMB,EXPOSES
PC-BOB,RDP,EXPOSES
SRV-WEB,CVE-2021-44228,HAS_VULNERABILITY
SRV-WEB,CVE-2022-22965,HAS_VULNERABILITY
PC-BOB,CVE-2019-0708,HAS_VULNERABILITY
DC-01,CVE-2020-1472,HAS_VULNERABILITY
NAS-BACKUP,CVE-2023-0001,HAS_VULNERABILITY
RH,SRV-WEB,HAS_ACCESS_TO
DEV,SRV-DB,HAS_ACCESS_TO
ADMINS,DC-01,HAS_ACCESS_TO
ADMINS,NAS-BACKUP,HAS_ACCESS_TO
SRV-DB,Base clients,HOSTS
SRV-DB,Secrets applicatifs,HOSTS
DC-01,Active Directory,HOSTS
NAS-BACKUP,Sauvegardes,HOSTS
